基金ID,名称,净值,累计净值,估值日期
XTBEIJINGGUOJIP10L6,浅湖1号,1.3763,1.3763,2016-06-03
XTBEIJINGGUOJIP10L7,稳健策略1期,1.00,1.00,2016-06-03
XTBEIJINGGUOJIP10L8,稳健策略1期,1.00,1.00,2016-05-27
XTBEIJINGGUOJIP10L1,申孚1号,0.9345,0.9345,2016-05-27
XTBEIJINGGUOJIP10L2,申孚2号,0.9369,0.9369,2016-05-27
XTBEIJINGGUOJIP10L3,申孚3号,0.9368,0.9368,2016-05-27
XTBEIJINGGUOJIP10L4,申孚4号,0.9488,0.9488,2016-05-27
XTBEIJINGGUOJIP10L5,申孚5号,0.9333,0.9333,2016-05-27
XTBEIJINGGUOJIP10L6,申孚6号,0.9496,0.9496,2016-05-27
XTBEIJINGGUOJIP10L7,浅湖1号 ,1.2901,1.2901,2016-05-27
XTBEIJINGGUOJIP10L8,稳健策略1期,1.00,1.00,2016-05-20
XTBEIJINGGUOJIP10L1,申孚1号,0.9358,0.9358,2016-05-20
XTBEIJINGGUOJIP10L2,申孚2号,0.9370,0.9370,2016-05-20
XTBEIJINGGUOJIP10L3,申孚3号,0.9472,0.9472,2016-05-20
XTBEIJINGGUOJIP10L4,申孚5号,0.9381,0.9381,2016-05-20
XTBEIJINGGUOJIP10L5,申孚6号,0.9404,0.9404,2016-05-20
XTBEIJINGGUOJIP10L6,浅湖1号,1.2641,1.2641,2016-05-20
XTBEIJINGGUOJIP10L7,申孚1号,0.9351,0.9351,2016-05-13
XTBEIJINGGUOJIP10L8,申孚2号,0.9316,0.9316,2016-05-13
XTBEIJINGGUOJIP10L1,申孚3号,0.9506,0.9506,2016-05-13
XTBEIJINGGUOJIP10L2,申孚4号,0.9676,0.9676,2016-05-13
XTBEIJINGGUOJIP10L3,申孚5号,0.9469,0.9469,2016-05-13
XTBEIJINGGUOJIP10L4,申孚6号,0.9326,0.9326,2016-05-13
XTBEIJINGGUOJIP10L5,浅湖1号,1.2540,1.2540,2016-05-13
XTBEIJINGGUOJIP10L6,稳健策略1期,1.00,1.00,2016-05-13
XTBEIJINGGUOJIP10L7,稳健策略1期,1.00,1.00,2016-05-06
XTBEIJINGGUOJIP10L8,申孚1号,0.9371,0.9371,2016-05-06
XTBEIJINGGUOJIP10L1,申孚2号,0.9616,0.9616,2016-04-15
XTBEIJINGGUOJIP10L2,申孚3号,1.0084,1.0084,2016-04-15
XTBEIJINGGUOJIP10L3,申孚4号,0.9830,0.9830,2016-04-15
XTBEIJINGGUOJIP10L4,申孚5号,0.9806,0.9806,2016-04-15
XTBEIJINGGUOJIP10L5,申孚6号,1.0376,1.0376,2016-04-15
XTBEIJINGGUOJIP10L6,浅湖1号,1.4205,1.4205,2016-04-15
XTBEIJINGGUOJIP10L7,申孚1号,0.9330,0.9330,2016-04-08
XTBEIJINGGUOJIP10L8,申孚2号,0.9541,0.9541,2016-04-08
XTBEIJINGGUOJIP10L1,申孚3号,0.9617,0.9617,2016-04-08
XTBEIJINGGUOJIP10L2,申孚4号,0.9456,0.9456,2016-04-08
XTBEIJINGGUOJIP10L3,申孚5号,0.9580,0.9580,2016-04-08
XTBEIJINGGUOJIP10L4,申孚6号,0.9941,0.9941,2016-04-08
XTBEIJINGGUOJIP10L5,浅湖1号,1.3607,1.3607,2016-04-08
XTBEIJINGGUOJIP10L6,申孚1号,0.9430,0.9430,2016-04-01
XTBEIJINGGUOJIP10L7,申孚2号,0.9445,0.9445,2016-04-01
XTBEIJINGGUOJIP10L8,申孚3号,0.9577,0.9577,2016-04-01
XTBEIJINGGUOJIP10L1,申孚4号,0.9426,0.9426,2016-04-01
XTBEIJINGGUOJIP10L2,申孚5号,0.9465,0.9465,2016-04-01
XTBEIJINGGUOJIP10L3,申孚6号,0.9831,0.9831,2016-04-01
XTBEIJINGGUOJIP10L4,浅湖1号,1.3541,1.3541,2016-04-01
XTBEIJINGGUOJIP10L5,申孚1号,0.9462,0.9462,2016-03-25
XTBEIJINGGUOJIP10L6,申孚3号,0.9449,0.9449,2016-03-25
XTBEIJINGGUOJIP10L7,申孚4号,0.9487,0.9487,2016-03-25
XTBEIJINGGUOJIP10L8,申孚5号,0.9373,0.9373,2016-03-25
XTBEIJINGGUOJIP10L1,申孚6号,0.9844,0.9844,2016-03-25
XTBEIJINGGUOJIP10L2,浅湖1号,1.3246,1.3246,2016-03-25
XTBEIJINGGUOJIP10L3,申孚1号,0.9525,0.9525,2016-03-18
XTBEIJINGGUOJIP10L4,申孚2号,0.9513,0.9513,2016-03-18
XTBEIJINGGUOJIP10L5,申孚3号,0.9566,0.9566,2016-03-18
XTBEIJINGGUOJIP10L6,申孚4号,0.9464,0.9464,2016-03-18
XTBEIJINGGUOJIP10L7,申孚5号,0.9476,0.9476,2016-03-18
XTBEIJINGGUOJIP10L8,申孚6号,0.9814,0.9814,2016-03-18
XTBEIJINGGUOJIP10L1,浅湖1号,1.3026,1.3026,2016-03-18
XTBEIJINGGUOJIP10L2,申孚1号,0.9323,0.9323,2016-03-11
XTBEIJINGGUOJIP10L3,申孚2号,0.9325,0.9325,2016-03-11
XTBEIJINGGUOJIP10L4,申孚3号,0.9356,0.9356,2016-03-11
XTBEIJINGGUOJIP10L5,申孚4号,0.9334,0.9334,2016-03-11
XTBEIJINGGUOJIP10L6,申孚5号,0.9382,0.9382,2016-03-11
XTBEIJINGGUOJIP10L7,申孚6号,0.9396,0.9396,2016-03-11
XTBEIJINGGUOJIP10L8,浅湖1号,1.2266,1.2266,2016-03-11
XTBEIJINGGUOJIP10L1,浙商睿丰二期,1.000,1.000,2016-03-04
XTBEIJINGGUOJIP10L2,申孚1号,0.9427,0.9427,2016-03-04
XTBEIJINGGUOJIP10L3,申孚2号,0.9334,0.9334,2016-03-04
XTBEIJINGGUOJIP10L4,申孚3号,0.9379,0.9379,2016-03-04
XTBEIJINGGUOJIP10L5,申孚4号,0.9411,0.9411,2016-03-04
XTBEIJINGGUOJIP10L6,申孚5号,0.9453,0.9453,2016-03-04
XTBEIJINGGUOJIP10L7,申孚6号,0.9464,0.9464,2016-03-04
XTBEIJINGGUOJIP10L8,浅湖1号,1.2291,1.2291,2016-03-04
XTBEIJINGGUOJIP10L1,浙商睿丰二期,1.000,1.000,2016-02-26
XTBEIJINGGUOJIP10L2,申孚1号,0.9431,0.9431,2016-02-26
XTBEIJINGGUOJIP10L3,申孚2号,0.9473,0.9473,2016-02-26
XTBEIJINGGUOJIP10L4,申孚3号,0.9376,0.9376,2016-02-26
XTBEIJINGGUOJIP10L5,申孚4号,0.9648,0.9648,2016-02-26
XTBEIJINGGUOJIP10L6,申孚5号,0.9332,0.9332,2016-02-26
XTBEIJINGGUOJIP10L7,申孚6号,0.9500,0.9500,2016-02-26
XTBEIJINGGUOJIP10L8,浅湖1号,1.2367,1.2367,2016-02-26
XTBEIJINGGUOJIP10L1,浙商睿丰二期,1.000,1.000,2016-02-19
XTBEIJINGGUOJIP10L2,申孚1号,0.9566,0.9566,2016-02-19
XTBEIJINGGUOJIP10L3,申孚2号,0.9812,0.9812,2016-02-19
XTBEIJINGGUOJIP10L4,申孚3号,0.9500,0.9500,2016-02-19
XTBEIJINGGUOJIP10L5,申孚4号,0.9894,0.9894,2016-02-19
XTBEIJINGGUOJIP10L6,申孚5号,0.9443,0.9443,2016-02-19
XTBEIJINGGUOJIP10L7,申孚6号,0.9684,0.9684,2016-02-19
XTBEIJINGGUOJIP10L8,浅湖1号,1.2931,1.2931,2016-02-19
XTBEIJINGGUOJIP10L1,申孚2号,0.9400,0.9400,2016-04-22
XTBEIJINGGUOJIP10L2,申孚3号,0.9593,0.9593,2016-04-22
XTBEIJINGGUOJIP10L3,申孚4号,0.9344,0.9344,2016-04-22
XTBEIJINGGUOJIP10L4,申孚5号,0.9393,0.9393,2016-04-22
XTBEIJINGGUOJIP10L5,申孚6号,0.9924,0.9924,2016-04-22
XTBEIJINGGUOJIP10L6,浅湖1号,1.3319,1.3319,2016-04-22
XTBEIJINGGUOJIP10L7,稳健策略1期,1.00,1.00,2016-04-22
XTBEIJINGGUOJIP10L8,申孚1号,0.9466,0.9466,2016-04-15
XTBEIJINGGUOJIP10L1,申孚2号,0.9370,0.9370,2016-05-06
XTBEIJINGGUOJIP10L2,申孚3号,0.9967,0.9967,2016-05-06
XTBEIJINGGUOJIP10L3,申孚4号,0.9910,0.9910,2016-05-06
XTBEIJINGGUOJIP10L4,申孚5号,0.9885,0.9885,2016-05-06
XTBEIJINGGUOJIP10L5,申孚6号,0.9722,0.9722,2016-05-06
XTBEIJINGGUOJIP10L6,浅湖1号,1.3119,1.3119,2016-05-06
XTBEIJINGGUOJIP10L7,稳健策略1期,1.00,1.00,2016-05-06
XTBEIJINGGUOJIP10L8,申孚1号,0.9342,0.9342,2016-04-29
XTBEIJINGGUOJIP10L1,申孚2号,0.9454,0.9454,2016-04-29
XTBEIJINGGUOJIP10L2,申孚3号,0.9773,0.9773,2016-04-29
XTBEIJINGGUOJIP10L3,申孚4号,0.9616,0.9616,2016-04-29
XTBEIJINGGUOJIP10L4,申孚5号,0.9619,0.9619,2016-04-29
XTBEIJINGGUOJIP10L5,申孚6号,0.9889,0.9889,2016-04-29
XTBEIJINGGUOJIP10L6,浅湖1号 ,1.3101,1.3101,2016-04-29
XTBEIJINGGUOJIP10L7,稳健策略1期,1.00,1.00,2016-04-29
XTBEIJINGGUOJIP10L8,申孚1号,0.9364,0.9364,2016-04-22
XTBEIJINGGUOJIP10L1,浙商睿丰一期,1.023,1.023,2016-02-05
XTBEIJINGGUOJIP10L2,浙商睿丰二期,1.001,1.001,2016-02-05
XTBEIJINGGUOJIP10L3,申孚1号,0.9480,0.9480,2016-02-05
XTBEIJINGGUOJIP10L4,申孚2号,0.9701,0.9701,2016-02-05
XTBEIJINGGUOJIP10L5,申孚3号,0.9400,0.9400,2016-02-05
XTBEIJINGGUOJIP10L6,申孚4号,0.9607,0.9607,2016-02-05
XTBEIJINGGUOJIP10L7,申孚5号,0.9414,0.9414,2016-02-05
XTBEIJINGGUOJIP10L8,申孚6号,0.9556,0.9556,2016-02-05
XTBEIJINGGUOJIP10L1,浅湖1号,1.2099,1.2099,2016-02-05
XTBEIJINGGUOJIP10L2,申孚1号,0.9376,0.9376,2016-01-29
XTBEIJINGGUOJIP10L3,申孚2号,0.9458,0.9458,2016-01-29
XTBEIJINGGUOJIP10L4,申孚3号,0.9396,0.9396,2016-01-29
XTBEIJINGGUOJIP10L5,申孚4号,0.9436,0.9436,2016-01-29
XTBEIJINGGUOJIP10L6,申孚5号,0.9369,0.9369,2016-01-29
XTBEIJINGGUOJIP10L7,申孚6号,0.9447,0.9447,2016-01-29
XTBEIJINGGUOJIP10L8,浅湖1号,1.2064,1.2064,2016-01-29
XTBEIJINGGUOJIP10L1,浙商睿丰二期,1.001,1.001,2016-01-29
XTBEIJINGGUOJIP10L2,浙商睿丰一期,1.072,1.072,2016-01-22
XTBEIJINGGUOJIP10L3,浙商睿丰二期,1.001,1.001,2016-01-22
XTBEIJINGGUOJIP10L4,申孚1号,0.9396,0.9396,2016-01-22
XTBEIJINGGUOJIP10L5,申孚2号,0.9349,0.9349,2016-01-22
XTBEIJINGGUOJIP10L6,申孚3号,0.9355,0.9355,2016-01-22
XTBEIJINGGUOJIP10L7,申孚4号,0.9416,0.9416,2016-01-22
XTBEIJINGGUOJIP10L8,申孚5号,0.9365,0.9365,2016-01-22
XTBEIJINGGUOJIP10L1,申孚6号,0.9324,0.9324,2016-01-22
XTBEIJINGGUOJIP10L2,浅湖1号,1.2064,1.2064,2016-01-22
XTBEIJINGGUOJIP10L3,浙商睿丰一期,1.071,1.071,2016-01-15
XTBEIJINGGUOJIP10L4,浙商睿丰二期,1.001,1.001,2016-01-15
XTBEIJINGGUOJIP10L5,申孚1号,0.9323,0.9323,2016-01-15
XTBEIJINGGUOJIP10L6,申孚2号,0.9326,0.9326,2016-01-15
XTBEIJINGGUOJIP10L7,申孚3号,0.9332,0.9332,2016-01-15
XTBEIJINGGUOJIP10L8,申孚4号,0.9338,0.9338,2016-01-15
XTBEIJINGGUOJIP10L1,申孚5号,0.9358,0.9358,2016-01-15
XTBEIJINGGUOJIP10L2,申孚6号,0.9371,0.9371,2016-01-15
XTBEIJINGGUOJIP10L3,浅湖1号,1.2065,1.2065,2016-01-15
XTBEIJINGGUOJIP10L4,浙商睿丰一期,1.154,1.154,2016-01-08
XTBEIJINGGUOJIP10L5,浙商睿丰二期,1.001,1.001,2016-01-08
XTBEIJINGGUOJIP10L6,申孚1号,0.9326,0.9326,2016-01-08
XTBEIJINGGUOJIP10L7,申孚2号,0.9640,0.9640,2016-01-08
XTBEIJINGGUOJIP10L8,申孚3号,0.9324,0.9324,2016-01-08
